Avocado Pollo Light,en
Spicy Maki,en
Tori Don,en
Soya 40 ml,en
16 Sándwich vegetariano,es
Sashimi Tako,sl
Beto Roll,pt
Individual,en
Ciboulette Tempura,fr
Avocado Roll,en
Nigiri Tako,jw
Cerveza Cristal Zero,es
084 Full roll,en
Tagliatelle Salsa Ragu,id
Chilena,es
Rodeo,en
Crab Maki,en
71 Ebi,en
Sake Pollo,es
30+10 tempura,en
Tempura Nori,lt
Akita Roll,en
Bagel Roll,en
Palmitos,pt
Futomaki Sayuri Roll,ro
Onion BBQ,en
Teriyaki Tori,en
Minicalzone Carne,es
Pechuga de Pollo ,es
Empanadas,es
024 Hand roll 3,en
Barros Jarpa,es
Torta Imperial de Chocolate,en
Temaki Tempura,pt
Maguro Spicy,en
70. Akitu Rolls,eu
Superior,es
Nigiri Ebi,jw
Temaki Spicy,pt
Mediterránea,es
Nigiri unagui,jw
70.Tuna roll,en
Nigiri Maguro,jw
El Pelao,es
1 Pizza Personal de 3 ingredientes + Lata Bebida,es
 Creme brulee de maracuyá,es
Sake   ,en
Empanadas,es
Lata 350 cc.,pl
CheeseCake Roll,en
4 Quesos,es
1 pizza mediana de 3 ingredientes,es
Chirashi Premium,en
Ebi Thai,en
Tako Spicy,en
Chicken Roll,en
Palitos de Ajo,es
40. Capone,en
Canada Dry,en
4 Quesos,es
19- Avocado Crab Roll,en
California Smoke,en
Tempura Maki,en
Queso Crema,es
Tuna Roll,en
Queso cabra ,es
Chilena,es
Avocado Roll,en
Carne mongoliana,mg
Pizza 4 Estaciones,es
California Maki,en
Ebi Teriyaki Roll,en
1.5 Lt,lt
Mediterránea,es
Combinado Mikai Especial    ,ha
013 Sashimi tropical,en
Rodeo,en
ANAKENA INDO RESERVA,mi
Cebollín,cs
Filete en salsa de champiñones y tocinos,es
Fresh Roll,en
Sashimi Maguro/Atún Rojo,es
67. Beef Rolls,en
Gaseosa 1.5 Lts. ,es
Carike,af
Nigiri Sake ,jw
Juntos y revueltos,es
Recoleta,es
Nigiri Ebi,jw
13 Avocado Surimi,fr
Mini roller BBQ Choricillo,en
Sudado de Pescado,es
Hosomaki Sake,en
Tempura Yasai,ha
Rodeo,en
D1 Ebyte,fr
Unagui masago,so
16.- Sake Roll,en
Salsa Tare,ro
Gunkan Ostiones,id
Yakisoba de Carne,es
Light Roll,en
Té,ca
Mousse de Maracuya,fr
098 Arroz chaufán especial,es
Combinación 1 *16 Piezas (1 persona),es
Palitos de ajo,es
Especial de la Casa,es
California Tako ,en
Miso Soup,en
Fetuccinis,ca
Minicalzone Carne,es
38- Tako Spicy,en
Bebidas en lata,es
Sándwich El Batard,es
Crispy roll ,en
Serrano Red Roll   ,en
Tempura Roll,en
Yakimeshi,sw
Ebi Cheese Maki,en
Nigiri Camarón,jw
Gyozas Pollo,es
Pulpo,es
118 Mix Batayaki,en
Edu Rolls,en
Mankora Roll,en
Nigiri Tuna,jw
Sake Cheese Roll,en
California Ebi Cheese,en
Arroz Matsue Tori,en
Oferta 1,es
Plato Buda,es
Yoko roll,en
Hosomaki Salmón,es
Minicalzone Champiñón,eo
Cheesecake Salsa Frutilla,es
Kurumiyage,tr
Tori Furay,so
Cerveza Cristal,es
Cheescake Salsa Dulce de Leche,es
92. Pulpo-Queso crema,es
Ebi Furay,so
31 Tuna Roll,en
Temaki Ebi,pt
Tempura Cam,en
Salmón,es
California EBI Cheese ,en
Chilena,es
145. Salsas Extras,es
Veneciana,es
Chilena,es
Palitos,es
Alemana  ,es
Pequepizza,es
Bebidas Coca-Cola Grandes,es
Atún Salad,es
Tempura Mixto,es
Unagi Maki,jw
Furay Roll                 ,so
Roll Acevichado.,en
Pizza verdie e nere,it
Pizza Milanesa,pt
Malaya,ms
Surimi Maki,fr
Rodeo,en
"Torta Mil Hojas, Manjar y Vainilla",es
Tekka Maki,id
California vegetal,en
Salsa Oriental,es
Queso,es
Aki Tori,hu
Cheese Roll,en
Ebi tempura,en
Especial de la Casa,es
Tomato Roll,en
106. Sopa miso,en
2 X 1 Pizza Personal,en
3 pizzas medianas hasta 3 ingredientes,es
Ensalada Japón,es
Shimo Sweet Unagi Roll,jw
Refrescos,es
Duo especial rolls,en
14 Chicken,en
1 Persona (18 Piezas),es
Mediterránea,es
Sashimi Appetizer ,en
Papas Fritas,es
Minicalzzone,it
Tori furai,fi
Niguiri Maguro,yo
Barros Jarpa,es
A la creme,fr
Kross Stout,en
Personal ,en
Aros de cebolla,es
Tau,ro
Pollo Katsu,et
Gnocchi de papa,it
Capuccino italiano,pt
Kani tempura,tl
Kioto Roll,es
Nigiri Tako,jw
Osaka,en
Avocado Roll,en
Mixto                    ,es
Leche de pantera,es
Miyagi Roll,en
Naranja Chocolate,es
Campera,es
Crush,en
Alfreda,pl
56 piezas,es
Arroz Nakashi,es
50 Agu Roll,en
"Palmito, palta, queso crema",es
15 Avocado Ebi Tempura,en
Mediana,es
California Maki,en
Delicia Roll,pt
Rock & Roll,en
Sashimi,en
26 piezas,es
Akita Roll,en
Coca Roll,en
Bebida 1.5 lts.,pt
1 Pizza Familiar de 3 ingredientes + Bebida 1.5 lts.,es
Lomito Luco,it
Akai Roll,en
House Tilapia,en
Kimura Para Compartir (60 Piezas),es
Tori Don,en
Tempura Light,en
Minicalzone Jamón,es
Ceviche Mixto,es
H5 Saki champiñón,eo
3 Chicken Strips,en
Torta Imperial de Chocolate,en
Chacarero,ga
California Ebi Cheese.,en
Bebida 3 Litros,es
"Gohan, desde:",es
Lúcuma,ga
Gyosas Pollo,es
Ensalada a la Chilena,es
Nigiri Tako,jw
Tacos de Res,es
Minicalzone Champiñón,eo
37 Vienesa Gigante,es
76.Pollo Sake Crispi,it
Sándwich BMT,es
Park 3 premium (40 cortes),en
Carne estilo cantonés,gl
Yakimeshi Especial,es
Teriyaki,en
Nigiri Maguro,jw
Edo Roll,eu
Sándwich de Albóndigas,es
Chirashi kani,tl
California Tori                          ,en
72.Sake maki,en
Café o Té y Prensado de Jamón y Queso,es
Tekka Maki,id
Yakisoba de Mariscos,es
Nigiri Ebi,jw
Vegetarianos,es
Sweet Cream,en
Salmón Tobu,es
3 pizzas medianas hasta 3 ingredientes,es
Unagi Roll,jw
